file	obj	ttot	ub
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_10.0.out	500	388.33	500
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_10.1.out	500	404.325	500
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_10.2.out	500	223.602	500
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_10.3.out	500	194.006	500
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_10.4.out	500	343.016	500
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_10.5.out	500	385.199	500
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_10.6.out	500	168.458	500
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_10.7.out	500	439.262	500
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_10.8.out	500	391.118	500
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_10.9.out	500	401.224	500
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_2.0.out	0	0	10000
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_2.1.out	0	0	10000
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_2.2.out	0	0	10000
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_2.3.out	0	0	10000
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_2.4.out	0	0	10000
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_2.5.out	0	0	10000
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_2.6.out	0	0	10000
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_2.7.out	0	0	10000
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_2.8.out	0	0	10000
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_2.9.out	0	0	10000
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_5.0.out	250	786.059	250
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_5.1.out	250	790.311	250
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_5.2.out	250	762.246	250
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_5.3.out	250	833.435	250
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_5.4.out	250	391.975	250
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_5.5.out	250	849.277	250
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_5.6.out	250	360.344	250
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_5.7.out	250	821.822	250
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_5.8.out	250	804.516	250
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_20_5.9.out	250	931.659	250
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_50_10.0.out	200	190.589	200
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_50_10.1.out	200	386.41	200
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_50_10.2.out	200	339.474	200
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_50_10.3.out	200	385.504	200
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_50_10.4.out	200	551.682	200
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_50_10.5.out	200	502.274	200
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_50_10.6.out	200	526.584	200
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_50_10.7.out	200	443.858	200
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_50_10.8.out	200	210.503	200
runs/gclcs-alg-3bs-2000guidance-1feas-0-k_filter-3-new/gclcs_10_1000_20_50_10.9.out	200	350.015	200
