file	obj	ttot	ub
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_10.0.out	402	107.193	402
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_10.1.out	403	261.678	403
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_10.2.out	418	257.313	418
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_10.3.out	402	246.683	402
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_10.4.out	416	266.515	416
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_10.5.out	404	260.161	404
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_10.6.out	411	259.584	411
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_10.7.out	420	110.741	420
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_10.8.out	392	243.331	392
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_10.9.out	418	257.03	418
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_2.0.out	97	18.0405	97
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_2.1.out	98	17.7497	98
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_2.2.out	98	16.5713	98
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_2.3.out	95	16.8725	95
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_2.4.out	98	8.25302	98
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_2.5.out	99	17.014	99
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_2.6.out	95	7.26049	95
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_2.7.out	100	17.6684	100
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_2.8.out	98	17.4277	98
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_2.9.out	99	17.2956	99
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_5.0.out	220	82.6256	220
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_5.1.out	225	90.5353	225
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_5.2.out	219	37.0265	219
runs/gclcs-alg-3bs-5000guidance-1feas-1-6/gclcs_10_1000_20_20_5.3.out	233	84.3509	233
